Fecha	IGAE
Ene 1993	60.4077
Feb 1993	61.0225
Mar 1993	63.9432
Abr 1993	61.8660
May 1993	63.6129
Jun 1993	62.8826
Jul 1993	62.7980
Ago 1993	62.0279
Sep 1993	62.0183
Oct 1993	62.8348
Nov 1993	63.6218
Dic 1993	66.1212
Ene 1994	63.0293
Feb 1994	62.7332
Mar 1994	65.7903
Abr 1994	65.8917
May 1994	66.8588
Jun 1994	66.6358
Jul 1994	64.7021
Ago 1994	65.7963
Sep 1994	65.7648
Oct 1994	66.7307
Nov 1994	67.8469
Dic 1994	68.0674
Ene 1995	65.1023
Feb 1995	60.2942
Mar 1995	62.9299
Abr 1995	59.2391
May 1995	61.1768
Jun 1995	61.0823
Jul 1995	59.7792
Ago 1995	61.0682
Sep 1995	60.8477
Oct 1995	60.2182
Nov 1995	63.0602
Dic 1995	65.4135
Ene 1996	64.5974
Feb 1996	63.2503
Mar 1996	65.0044
Abr 1996	63.8220
May 1996	66.5690
Jun 1996	65.5782
Jul 1996	65.9122
Ago 1996	65.3646
Sep 1996	65.0377
Oct 1996	67.8246
Nov 1996	68.5590
Dic 1996	69.2685
Ene 1997	67.9223
Feb 1997	66.0157
Mar 1997	67.0887
Abr 1997	70.1894
May 1997	71.2536
Jun 1997	70.7176
Jul 1997	70.4839
Ago 1997	70.0285
Sep 1997	70.7516
Oct 1997	73.2373
Nov 1997	72.7579
Dic 1997	73.7804
Ene 1998	72.2813
Feb 1998	71.2676
Mar 1998	75.3075
Abr 1998	72.9524
May 1998	75.1380
Jun 1998	74.6452
Jul 1998	74.6145
Ago 1998	73.4793
Sep 1998	73.7673
Oct 1998	74.4642
Nov 1998	74.4434
Dic 1998	75.6774
Ene 1999	74.2838
Feb 1999	72.7094
Mar 1999	76.9921
Abr 1999	74.3292
May 1999	76.9230
Jun 1999	76.5567
Jul 1999	76.3126
Ago 1999	75.6700
Sep 1999	76.2478
Oct 1999	76.4547
Nov 1999	77.6701
Dic 1999	78.0535
Ene 2000	77.9300
Feb 2000	77.3673
Mar 2000	80.3580
Abr 2000	77.0076
May 2000	82.3433
Jun 2000	81.5415
Jul 2000	79.6297
Ago 2000	81.1907
Sep 2000	80.1649
Oct 2000	80.8096
Nov 2000	80.9162
Dic 2000	79.4983
Ene 2001	79.4235
Feb 2001	76.4193
Mar 2001	80.7679
Abr 2001	77.5312
May 2001	81.7841
Jun 2001	80.6070
Jul 2001	79.3253
Ago 2001	80.5870
Sep 2001	78.2696
Oct 2001	79.9736
Nov 2001	80.0939
Dic 2001	79.0925
Ene 2002	77.3863
Feb 2002	75.1093
Mar 2002	77.1223
Abr 2002	80.8302
May 2002	82.0699
Jun 2002	79.7213
Jul 2002	79.9272
Ago 2002	80.3058
Sep 2002	78.3802
Oct 2002	81.6077
Nov 2002	80.0952
Dic 2002	80.4905
Ene 2003	79.2724
Feb 2003	77.1755
Mar 2003	80.3398
Abr 2003	79.9509
May 2003	82.2884
Jun 2003	81.4434
Jul 2003	80.9357
Ago 2003	79.4200
Sep 2003	79.1888
Oct 2003	81.8791
Nov 2003	80.6345
Dic 2003	83.3304
Ene 2004	80.9301
Feb 2004	79.1938
Mar 2004	84.9278
Abr 2004	82.9362
May 2004	85.2391
Jun 2004	85.6209
Jul 2004	82.9402
Ago 2004	83.1324
Sep 2004	82.1975
Oct 2004	84.3627
Nov 2004	85.9415
Dic 2004	86.2306
Ene 2005	82.2584
Feb 2005	80.8994
Mar 2005	83.6264
Abr 2005	86.5937
May 2005	87.8889
Jun 2005	86.3521
Jul 2005	83.7842
Ago 2005	86.4312
Sep 2005	84.6426
Oct 2005	86.8531
Nov 2005	88.6573
Dic 2005	89.1511
Ene 2006	87.0456
Feb 2006	84.0830
Mar 2006	89.5401
Abr 2006	87.1025
May 2006	93.1394
Jun 2006	91.3686
Jul 2006	88.3589
Ago 2006	90.2462
Sep 2006	87.8691
Oct 2006	91.5975
Nov 2006	91.1452
Dic 2006	90.8614
Ene 2007	88.7773
Feb 2007	85.7683
Mar 2007	91.4221
Abr 2007	89.3206
May 2007	94.3224
Jun 2007	93.5346
Jul 2007	91.4110
Ago 2007	92.2173
Sep 2007	89.4752
Oct 2007	95.2800
Nov 2007	93.8093
Dic 2007	92.4572
Ene 2008	90.9543
Feb 2008	88.9893
Mar 2008	89.0533
Abr 2008	94.7153
May 2008	94.8644
Jun 2008	94.4559
Jul 2008	94.1593
Ago 2008	91.4931
Sep 2008	90.5765
Oct 2008	95.5068
Nov 2008	92.0427
Dic 2008	91.8951
Ene 2009	84.8959
Feb 2009	81.8410
Mar 2009	86.8736
Abr 2009	84.3107
May 2009	86.0816
Jun 2009	88.1843
Jul 2009	88.7317
Ago 2009	86.5536
Sep 2009	86.5038
Oct 2009	91.1206
Nov 2009	91.2491
Dic 2009	91.8563
Ene 2010	86.8670
Feb 2010	85.2272
Mar 2010	92.2923
Abr 2010	90.5818
May 2010	92.3000
Jun 2010	93.2310
Jul 2010	92.3287
Ago 2010	91.5622
Sep 2010	90.5565
Oct 2010	93.8453
Nov 2010	95.9693
Dic 2010	95.5959
Ene 2011	90.2055
Feb 2011	88.5687
Mar 2011	95.8290
Abr 2011	91.6000
May 2011	95.9463
Jun 2011	96.4883
Jul 2011	95.2179
Ago 2011	96.5390
Sep 2011	94.1021
Oct 2011	97.4377
Nov 2011	101.0828
Dic 2011	98.8157
Ene 2012	94.6746
Feb 2012	94.0790
Mar 2012	99.0922
Abr 2012	95.4793
May 2012	100.3153
Jun 2012	99.6868
Jul 2012	99.3109
Ago 2012	99.0992
Sep 2012	95.1892
Oct 2012	101.8599
Nov 2012	104.3865
Dic 2012	100.5282
Ene 2013	97.9686
Feb 2013	94.6710
Mar 2013	97.0608
Abr 2013	99.9162
May 2013	102.2753
Jun 2013	99.5175
Jul 2013	100.8098
Ago 2013	100.2736
Sep 2013	96.8068
Oct 2013	103.6672
Nov 2013	104.2317
Dic 2013	102.8016
Ene 2014	98.7552
Feb 2014	96.9565
Mar 2014	101.4948
Abr 2014	100.3186
May 2014	104.8608
Jun 2014	102.8940
Jul 2014	104.1387
Ago 2014	101.7362
Sep 2014	100.0155
Oct 2014	106.8111
Nov 2014	106.4799
Dic 2014	106.8813
Ene 2015	102.3198
Feb 2015	99.8705
Mar 2015	104.9661
Abr 2015	103.6879
May 2015	106.1979
Jun 2015	107.3171
Jul 2015	107.4601
Ago 2015	105.4827
Sep 2015	105.0229
Oct 2015	109.2946
Nov 2015	109.0991
Dic 2015	109.2629
Ene 2016	104.4188
Feb 2016	104.5800
Mar 2016	105.9083
Abr 2016	107.2925
May 2016	109.0624
Jun 2016	109.9615
Jul 2016	107.5249
Ago 2016	108.9485
Sep 2016	106.0608
Oct 2016	110.5645
Nov 2016	114.1460
Dic 2016	112.5101
Ene 2017	108.4204
Feb 2017	105.2842
Mar 2017	111.9049
Abr 2017	106.2023
May 2017	112.3033
Jun 2017	112.7975
Jul 2017	108.9551
Ago 2017	111.7702
Sep 2017	106.3218
Oct 2017	112.8479
Nov 2017	116.1781
Dic 2017	113.9969
Ene 2018	111.0131
Feb 2018	107.8084
Mar 2018	111.1959
Abr 2018	111.5991
May 2018	115.8267
Jun 2018	114.4432
Jul 2018	112.8013
Ago 2018	114.3255
Sep 2018	108.7688
Oct 2018	115.9630
Nov 2018	117.7296
Dic 2018	113.1117
Ene 2019	112.5290
Feb 2019	108.8507
Mar 2019	112.2977
Abr 2019	109.8243
