Encuestadora,"Publicación (2018)","Levantamiento (2018)",Muestra,Obrador,Anaya,Meade,Zavala,Rodríguez,"Ninguno Nulo/Blanco",NC/NS,Margen de error
SDP Noticias,1 de abril,26-31 de marzo,15347 ,39.5,19.9,25.2,9.6,,,5.4,±0.9
Massive Caller,1 de abril,31 de marzo,Sin datos,33.75,25.85,15.10,7.8,0,,17.50,Sin datos
El Heraldo,2 de abril,21-23 de marzo,1100 ,31,22,25,5,1,,15,±3.1
Parametria,2 de abril,23-28 de marzo,800 ,38,20,16,13,,6,7,±3.5
Conteo SC,3 de abril,23-27 de marzo,1100 ,33.0,21.2,24.9,5.1,0.6,,15.2,±3
Mendoza Blanco,4 de abril,23-25 de marzo,1500 ,32,25,15,3,,13,12,±2.7
Gii 360,4 de abril,30 de marzo-3 de abril,1500 ,43,19,13,7,,8,10,±2.4
El Universal,9 de abril,3-5 de abril,1256 ,34.6,25.6,18.1,4.2,,8.8,8.6,Sin datos
Massive Caller,14 de abril,13 de abril,Sin datos,35.45,27.35,13.45,8.3,1.3,,14.5,Sin datos
SDP Noticias,15 de abril,11-14 de abril,25 009 ,41.9,19.7,22.7,9.0,2.5,,4.2,Sin datos
Reforma,18 de abril,12-15 de abril,1200 ,48,26,18,5,3,,,±3.7
Consulta Mitofsky,19 de abril,13-15 de abril,1000 ,31.9,20.8,16.9,3.8,1.6,,25,±3.1
Massive Caller,24 de abril,23 de abril,Sin datos,36.05,28.70,11.85,6.10,2.45,0,14.8,Sin datos
SDP Noticias,29 de abril,25-28 de abril,17 761 ,41.4,24.7,22.2,4.8,3.1,,3.8,±0.8
Revista 32,1 de mayo,23-25 de abril,6316 ,50.9,17.8,13.5,2.2,2.8,,12.8,±1.2
Reforma,2 de mayo,26-30 de abril,1200 ,48,30,17,3,2,,,±3.6
La Silla Rota,2 de mayo,25-28 de abril,1200 ,45,29,18,5,3,,,±2.8
Parametria,3 de mayo,25-30 de abril,1000 ,39,25,14,6,2,2,12,±3.1
Massive Caller,6 de mayo,5 de mayo,2000 ,39.15,28.55,12.45,4.75,2.75,,11.95,±2.2
BGC,7 de mayo,3-6 de mayo,1200 ,42,33,19,4,2,,,±2.9
Varela y Asociados,8 de mayo,28 de abril-4 de mayo,900 ,41,29,14,1,1,,14,Sin datos
Massive Caller,9 de mayo,8 de mayo,2000 ,40.67,30.99,11.83,4.74,1.75,,10.03,±2.2
Conteo SC,10 de mayo,30 de abril-2 de mayo,1100 ,33.4,23.3,24.2,2.1,1.3,,15.7,±3
GEA-ISA,10 de mayo,28-30 de abril,1070 ,29,24,20,4,2,,21,±3
Gii 360,11 de mayo,7-10 de mayo,1500 ,42,17,13,6,3,,19,±2.4
SDP Noticias,13 de mayo,9-12 de mayo,28844 ,40.6,27.3,22.9,2.6,2.2,,4.4,±0.6
El Financiero,14 de mayo,26 de abril-2 de mayo,1000 ,46,26,20,5,3,,,±3.1
El Heraldo,15 de mayo,5-9 de mayo,1160 ,36,23,23,2,1,,15,±3
Consulta Mitofsky,16 de mayo,11-13 de mayo,1000 ,32.6,20.5,14.5,2.7,2.9,,26.8,±3.1
Ipsos,17 de mayo,11-15 de mayo,1000 ,43,24,16,1,2,,14,±3.1
SDP Noticias,20 de mayo,18-19 de mayo,10 024 ,42.4,25.8,24.2,0.6,3.3,,3.7,±1.0
Eje Central,26 de mayo,21-22 de mayo,500 ,49,26,21,,4,,,±4.4
Massive Caller,27 de mayo,26 de mayo,2000 ,39.31,31.77,14.44,,3.80,,11,Sin datos
SDP Noticias,27 de mayo,24-26 de mayo,19 025 ,43.2,24.1,24.2,0.6,4.1,,3.8,±0.8
Reforma,30 de mayo,24-27 de mayo,1200 ,52,26,19,,3,,,±3.8
Pop Group,30 de mayo,23-28 de mayo,2515 ,32,24,26,,1,3,14,±2.5
Parametria,30 de mayo,23-29 de mayo,1005 ,45,20,14,3,1,11,6,±3.1
Gii360,1 de junio,28-31 de mayo,1500 ,45,21,16,,7,,11,±2.4
Arias Consultores,3 de junio,1-3 de junio,5521 ,69.3,12.9,14.0,,1.9,1.9,,±1.4
Massive Caller,4 de junio,3 de junio,2000 ,41.65,28.15,15.05,,4.35,,10.80,Sin Datos
El Financiero,4 de junio,24-28 de mayo,1201 ,50,24,22,,4,,28,±2.8
GEA-ISA,5 de junio,25-27 de mayo,1070 ,37,23,17,,3,,20,±3
BGC,5 de junio,31 de mayo-4 de junio,2600 ,47,29,21,,3,,21.5,±2
